Section (in);Type;Density (s.g.);3 rpm;6 rpm;30 rpm;60 rpm;100 rpm;200 rpm;300 rpm;600 rpm;Gel strength 10 s (Pa);Gel strength 10 min (Pa);Oil/water ratio (%)
12.25;water-based;1.22;11;12;15;18;22;29;34;46;5;7;-
8.5;water-based;1.29;9;10;14;18;22;32;39;57;5;7;-
