Section (in);Type;Density (s.g.);3 rpm;6 rpm;30 rpm;60 rpm;100 rpm;200 rpm;300 rpm;600 rpm;Gel strength 10 s (Pa);Gel strength 10 min (Pa);Oil/water ratio (%)
12.25;oil-based;1.28;12;13;17;23;29;42;53;79;7;9;75/25
8.5;oil-based;1.32;13;14;19;24;31;44;55;82;6;8;70/30
