Section (in);Type;Density (s.g.);3 rpm;6 rpm;30 rpm;60 rpm;100 rpm;200 rpm;300 rpm;600 rpm;Gel strength 10 s (Pa);Gel strength 10 min (Pa);Oil/water ratio (%)
12.25;oil-based;1.44;10;11;16;20;25;37;45;66;6;10;72/28
8.5;oil-based;1.35;13;14;18;22;27;36;42;56;6;10;78/22
