Section (in);Type;Density (s.g.);3 rpm;6 rpm;30 rpm;60 rpm;100 rpm;200 rpm;300 rpm;600 rpm;Gel strength 10 s (Pa);Gel strength 10 min (Pa);Oil/water ratio (%)
17.5;water-based;1.35;14;15;20;26;33;47;58;83;5;7;-
12.25;oil-based;1.4;13;14;18;23;29;41;50;70;7;12;70/30
8.5;oil-based;1.4;10;11;16;20;26;37;46;68;6;10;75/25
