Section (in);Type;Density (s.g.);3 rpm;6 rpm;30 rpm;60 rpm;100 rpm;200 rpm;300 rpm;600 rpm;Gel strength 10 s (Pa);Gel strength 10 min (Pa);Oil/water ratio (%)
17.5;oil-based;1.4;10;11;16;21;27;40;50;76;6;8;75/25
8.5;oil-based;1.32;9;10;15;20;26;38;49;77;4;7;75/25
