Section (in);Type;Density (s.g.);3 rpm;6 rpm;30 rpm;60 rpm;100 rpm;200 rpm;300 rpm;600 rpm;Gel strength 10 s (Pa);Gel strength 10 min (Pa);Oil/water ratio (%)
12.25;oil-based;1.62;17;18;27;35;44;66;86;138;9;16;70/30
8.5;oil-based;1.43;14;15;22;29;37;56;72;115;9;15;70/30
