Section (in);Type;Density (s.g.);3 rpm;6 rpm;30 rpm;60 rpm;100 rpm;200 rpm;300 rpm;600 rpm;Gel strength 10 s (Pa);Gel strength 10 min (Pa);Oil/water ratio (%)
17.5;oil-based;1.42;9;10;15;19;25;37;48;75;5;7;70/30
8.5;oil-based;1.32;12;13;18;23;30;44;55;83;5;7;70/30
