Section (in);Type;Density (s.g.);3 rpm;6 rpm;30 rpm;60 rpm;100 rpm;200 rpm;300 rpm;600 rpm;Gel strength 10 s (Pa);Gel strength 10 min (Pa);Oil/water ratio (%)
17.5;water-based;1.22;14;15;20;24;29;39;46;61;6;8;-
12.25;water-based;1.4;13;14;18;23;28;38;45;62;5;7;-
